,lat,lon,intersection_type,number_of_accidents,average_cost_to_insurers,fatal_accident_number,major_accident_number,minor_accident_number,unknown_accident_number,property_accident_number
290,41.5984922728426,-93.65935193000394,,254,120666.66666666667,0,2,20,51,181
291,0.0,0.0,,245,120666.66666666667,1,3,14,22,205
292,42.001087336537466,-93.61004971085045,,214,120666.66666666667,0,6,16,52,140
293,42.02008880374463,-93.61032176944583,,231,120333.33333333333,0,3,22,37,169
294,41.650554095128555,-93.69766356936543,,249,120333.33333333333,0,0,28,36,185
295,41.52342704838814,-90.60119064691322,,219,120333.33333333333,0,3,25,56,135
296,42.046556416802865,-91.68282107795069,,284,120000.0,0,0,19,46,219
297,41.96314282647935,-91.7088988533099,,242,119333.33333333333,0,2,22,50,168
298,41.591799622735984,-93.71341982567962,,231,119000.0,0,3,21,38,169
299,42.02576256260307,-91.62127106215729,,267,118333.33333333333,0,0,22,49,196
300,41.60054803132844,-93.55148432022882,,201,118333.33333333333,0,7,14,57,123
301,42.43527728490371,-96.36985307202593,,270,118000.0,0,2,14,87,167
302,41.672927990318215,-93.7749689738801,,242,118000.0,0,4,14,30,194
303,41.554798005036616,-90.51979583085388,,219,117666.66666666667,0,3,23,51,142
304,42.032283561912934,-91.62367786874772,,218,117333.33333333333,0,5,16,49,148
305,42.505124931028874,-96.41685360875479,,208,117333.33333333333,0,2,29,53,124
306,41.61485826795146,-93.70371309203884,,206,116666.66666666667,0,2,29,53,122
307,41.65788198893955,-91.53765991732259,,248,116666.66666666667,0,1,22,45,180
308,42.491424668078096,-90.70138063295389,,282,116666.66666666667,0,2,10,56,214
309,41.63570944198118,-93.5321315949371,,159,116333.33333333333,2,4,24,46,83
310,43.147157486596434,-93.20104960967258,,223,116333.33333333333,0,5,14,34,170
311,41.59645441230688,-93.63634263872156,,176,116000.0,0,8,15,42,111
312,41.62774198231822,-93.57087080297264,,220,116000.0,0,4,18,67,131
313,41.708362581112645,-91.608119585013,,231,115666.66666666667,0,2,22,29,178
314,41.65274657367862,-93.69753724483327,,252,115333.33333333333,0,3,13,35,201
315,41.5382688342653,-90.56486421935216,,230,115333.33333333333,0,4,15,88,123
316,42.06401078957991,-94.85928104577722,,238,115333.33333333333,0,2,20,48,168
317,41.64979115489058,-91.57405398946713,,274,115333.33333333333,0,2,11,55,206
318,43.18407993209565,-95.15018981119124,,115,115000.0,2,2,41,20,50
319,41.56272054917913,-93.64502784713972,,229,115000.0,0,4,15,60,150
320,41.68171757953303,-91.59581818673112,,212,114666.66666666667,0,6,12,36,158
321,43.148352798866746,-93.22100177700952,,210,114666.66666666667,2,2,17,53,136
322,41.61493014680491,-93.87217854503656,,164,114666.66666666667,0,6,24,18,116
323,43.14619326822284,-93.2010717301232,,211,114333.33333333333,0,2,26,38,145
324,41.64947264805528,-93.62967291223923,,163,114333.33333333333,2,7,11,39,104
325,41.55688917644389,-90.55709478119661,,178,114000.0,0,8,13,30,127
326,41.688238278450534,-93.8530632781081,,111,113666.66666666667,0,13,12,28,58
327,41.59450306202887,-93.75197420290122,,243,113666.66666666667,0,3,14,37,189
328,41.672985429350454,-93.503093683923,,117,113666.66666666667,0,8,28,28,53
329,42.51227733558794,-90.72058277941531,,313,113666.66666666667,0,0,7,72,234
330,41.65047144260903,-93.61999025883388,,289,113666.66666666667,0,0,13,40,236
331,42.50498391810715,-96.40355538018876,,196,112666.66666666667,0,7,11,60,118
332,41.92443855608258,-91.65670733744948,,218,112666.66666666667,0,2,23,30,163
333,41.59522407228276,-93.62567009709423,,191,112333.33333333333,0,5,19,42,125
334,42.49067559372595,-90.67955897985664,,321,112333.33333333333,0,0,4,72,245
335,42.4898272777693,-96.39779488429957,,247,112333.33333333333,0,5,5,63,174
336,41.64950671791548,-93.61031058971639,,201,112333.33333333333,0,6,13,27,155
337,41.600285491883554,-93.6593594424779,,249,111666.66666666667,0,3,11,80,155
338,41.532679891662134,-93.59681106886296,,219,111666.66666666667,0,4,15,66,134
339,41.643856415639185,-93.73658608824056,,266,111333.33333333333,0,2,10,38,216
340,42.01210694217599,-93.67865104927313,,216,111333.33333333333,0,3,19,40,154
341,41.61471415341182,-93.71852135857641,,170,111333.33333333333,0,4,27,35,104
342,41.562581014233395,-93.59693631700833,,120,111333.33333333333,0,9,22,29,60
343,41.22668594553704,-95.82446572692606,,257,111000.0,0,0,19,66,172
344,40.80766661109505,-91.14148956030309,,221,111000.0,0,2,21,52,146
345,41.22821442071074,-95.85134387705577,,197,111000.0,0,4,20,30,143
346,42.496341229132156,-96.40199846104247,,212,110666.66666666667,0,6,9,42,155
347,41.23120848876345,-95.8792696378571,,224,110666.66666666667,0,0,27,39,158
348,42.034571253966455,-93.6203959626044,,268,110666.66666666667,0,0,16,39,213
349,41.60400370555675,-93.65849128074383,,203,110333.33333333333,0,6,11,41,145
